,SubjectID,MentalState,Condition,Prompt,ACC,RT,Block
0,BP107,PeerNM,F1,My headphones are broken.,1,1.72823691368,2
1,BP107,CompNM,F1,Sam lives far away from school. ,1,2.41727304459,2
2,BP107,PeerMental,F1,I really like to dance.,1,1.51541924477,2
3,BP107,PeerMental,F1,I like to read about history.,1,3.06541490555,2
4,BP107,PeerMental,F1,I like watching team sports.,1,2.1591527462,2
5,BP107,CompNM,F1,Sam has ten glass bottles.,1,1.87691497803,2
6,BP107,CompMental,F1,Sam likes to run.,1,2.04680919647,2
7,BP107,PeerNM,F1,My telephone rings a lot.,1,2.66398382187,2
8,BP107,CompNM,F1,Sam is going on a hike.,1,1.74884319305,2
9,BP107,PeerMental,F1,I like biology.,1,2.3659927845,2
10,BP107,PeerNM,F1,I am taller than my brother.,1,3.79026699066,2
11,BP107,PeerNM,F1,I am lactose-intolerant.,1,1.5664191246,2
12,BP107,CompMental,F1,Sam likes happy endings.,1,2.19009709358,2
13,BP107,PeerMental,F1,I like going to bed early.,1,1.82821798325,2
14,BP107,CompNM,F1,Sam only has regular markers.,1,2.06755590439,2
15,BP107,CompNM,F1,Sam is going to a birthday party.,1,1.67299699783,2
16,BP107,CompMental,F1,Sam doesn't like fruit.,1,2.0175409317,2
17,BP107,CompMental,F1,Sam thinks it's going to be warm today.,1,1.63801002502,2
18,BP107,PeerMental,F1,I already know about sports from TV.,0,1.38914012909,2
19,BP107,CompMental,F1,Sam likes to be around books.,1,1.80955815315,2
20,BP107,CompMental,F1,Sam likes being informed.,1,1.87808489799,2
21,BP107,PeerNM,F1,I can already play the piano and violin.,1,1.81718492508,2
22,BP107,PeerNM,F1,I can draw something blue.,1,1.65424704552,2
23,BP107,PeerNM,F1,I am eating with my younger brother.,1,2.08037781715,2
24,BP107,PeerMental,F1,I like eating hot meals.,1,2.94949698448,2
25,BP107,CompNM,F1,Sam can speak Spanish but not Italian.,1,3.41388702393,2
26,BP107,CompMental,F1,Sam is scared of roller coasters.,1,2.7693529129,2
27,BP107,PeerMental,F1,I like citrus sodas.,0,3.82127690315,2
28,BP107,PeerNM,F1,I have to carry a lot of books.,1,2.73048496246,2
29,BP107,CompNM,F1,Sam is going skiing.,1,1.83798909187,2
30,BP107,PeerMental,F1,I like eating healthy desserts.,1,1.68193817139,1
31,BP107,PeerMental,F1,"I like calm, relaxing rides.",1,1.52140498161,1
32,BP107,PeerMental,F1,I like to get exercise.,1,1.55010771751,1
33,BP107,CompMental,F1,Sam likes reading books outside.,1,2.07736611366,1
34,BP107,CompMental,F1,Sam really likes to fly.,1,1.42476201057,1
35,BP107,PeerNM,F1,I have an iPhone.,1,2.02623391151,1
36,BP107,CompMental,F1,Sam doesn't like sweets.,1,1.87663888931,1
37,BP107,PeerNM,F1,I am going to a water park.,1,1.93845105171,1
38,BP107,PeerNM,F1,My paint palette is dirty.,1,2.76406884193,1
39,BP107,CompMental,F1,Sam likes to read.,1,1.92948007584,1
40,BP107,CompMental,F1,Sam doesn't like to eat meat.,1,1.88019704819,1
41,BP107,CompNM,F1,Sam uses a kickboard to swim.,1,2.71632599831,1
42,BP107,PeerMental,F1,I want to do some exercise.,1,1.78505182266,1
43,BP107,CompNM,F1,Sam is allergic to peanuts.,1,1.43957281113,1
44,BP107,PeerNM,F1,I am in the living room.,0,3.13898706436,1
45,BP107,CompNM,F1,Sam got an A on his math test.,1,2.09900808334,1
46,BP107,CompMental,F1,Sam likes phones with dark colors.,1,1.60510492325,1
47,BP107,PeerMental,F1,I like watching old movies.,1,2.17963409424,1
48,BP107,CompNM,F1,Sam is a terrible swimmer.,1,2.07825803757,1
49,BP107,CompNM,F1,Sam is very busy on Saturdays.,0,3.98030996323,1
50,BP107,PeerNM,F1,I have class during the week.,1,1.81184101105,1
51,BP107,CompNM,F1,There are a lot of rabbits near Sam's house.,0,3.3133661747,1
52,BP107,PeerMental,F1,When I go skiing I want to be warm.,0,2.60770106316,1
53,BP107,PeerNM,F1,I invited a lot of friends to the party.,1,1.80723309517,1
54,BP107,CompNM,F1,Sam is playing with his little brother.,0,,1
55,BP107,PeerNM,F1,I do not have a pool.,1,2.70599222183,1
56,BP107,PeerMental,F1,I am afraid of reptiles.,1,1.54372692108,1
57,BP107,CompMental,F1,Sam wants his garden to look pretty soon.,0,1.74601697922,1
58,BP107,PeerNM,F1,I can play basketball for one season.,1,2.87720108032,1
59,BP107,CompMental,F1,Sam needs new winter clothes.,1,1.32941222191,1
60,BP107,CompNM,F1,Sam's hard drive is broken. ,1,3.00704216957,3
61,BP107,PeerNM,F1,My computer screen is very dark.,1,1.51470804214,3
62,BP107,CompMental,F1,Sam needs a drink before his soccer game.,1,3.16941285133,3
63,BP107,CompMental,F1,Sam wants to have a party at night.,0,1.76538205147,3
64,BP107,CompNM,F1,Sam can kick the ball far.,1,1.31160306931,3
65,BP107,PeerNM,F1,My dog is sick.,1,1.36219596863,3
66,BP107,CompNM,F1,Sam has a small budget.,0,,3
67,BP107,CompNM,F1,Sam's tent has a hole in it.,1,2.08620381355,3
68,BP107,CompMental,F1,Sam wants to look like an adult.,0,1.55129790306,3
69,BP107,PeerMental,F1,I want to go to a fancy event.,1,1.86423873901,3
70,BP107,PeerMental,F1,I like competition.,1,1.88952207565,3
71,BP107,PeerMental,F1,I don't like violence.,1,1.50307321548,3
72,BP107,PeerMental,F1,I am very interested in the ocean,1,1.36686611176,3
73,BP107,CompNM,F1,Sam's dog likes to eat game board pieces.,1,1.63130712509,3
74,BP107,PeerNM,F1,I have a small living room.,1,3.15221381187,3
75,BP107,PeerMental,F1,I like eating healthy snacks.,1,1.44081091881,3
76,BP107,CompMental,F1,Sam likes pictures with people in them.,1,3.17191791534,3
77,BP107,PeerNM,F1,I can speak Chinese but not French.,1,1.54022312164,3
78,BP107,PeerNM,F1,I have neat handwriting.,1,1.50327801704,3
79,BP107,CompMental,F1,Sam needs a new toy.,1,1.34054088593,3
80,BP107,CompMental,F1,Sam is trying to save money.,0,2.08328080177,3
81,BP107,CompNM,F1,Sam is really good at riding bikes.,1,1.70827102661,3
82,BP107,PeerMental,F1,I really like homemade meals.,1,1.80886912346,3
83,BP107,PeerNM,F1,I only ride my bike in the street.,1,1.52038908005,3
84,BP107,CompNM,F1,The space bar on Sam's keyboard is broken. ,1,1.72978806496,3
85,BP107,CompMental,F1,Sam wants a quiet room to sleep in.,0,3.63080787659,3
86,BP107,PeerMental,F1,I really like to laugh.,1,1.67912793159,3
87,BP107,CompNM,F1,Sam plays Minecraft.,0,3.54805397987,3
88,BP107,CompMental,F1,Sam wants to see a matinee.,0,2.53071403503,3
89,BP107,CompNM,F1,Sam is in a research laboratory. ,1,2.55983805656,3
90,BP107,CompMental,F1,Sam likes to ride his bike.,1,1.31004095078,4
91,BP107,PeerNM,F1,I have a lot of clothes.,1,1.78520488739,4
92,BP107,PeerMental,F1,I like to watch true stories.,1,3.87417268753,4
93,BP107,PeerNM,F1,I have a kite.,1,2.4232070446,4
94,BP107,CompNM,F1,Sam has to get up early tomorrow.,1,2.12281298637,4
95,BP107,PeerMental,F1,I like shows that are funny.,1,1.47359895706,4
96,BP107,PeerMental,F1,I want a calming paint color.,1,1.72182917595,4
97,BP107,PeerMental,F1,I love to listen to loud music.,1,2.12385892868,4
98,BP107,PeerMental,F1,I want to eat healthy.,1,1.75613999367,4
99,BP107,CompMental,F1,Sam likes to be very active.,1,1.51501893997,4
100,BP107,CompMental,F1,Sam wants to read the book now.,0,3.53954315186,4
101,BP107,PeerNM,F1,I have good aim.,1,2.26097226143,4
102,BP107,CompMental,F1,Sam likes his little brother.,1,1.91489505768,4
103,BP107,PeerNM,F1,I do not own a printer.,1,3.99599218369,4
104,BP107,PeerNM,F1,I have a papercut.,1,2.22024989128,4
105,BP107,CompMental,F1,Sam likes being in the woods.,1,1.57881093025,4
106,BP107,CompMental,F1,Sam wants to drink something that won't stain.,1,1.59372091293,4
107,BP107,CompNM,F1,Sam can do the splits.,1,1.51091790199,4
108,BP107,PeerMental,F1,I want to stay cool this summer.,1,1.7748401165,4
109,BP107,CompNM,F1,Sam will be in Florida.,0,1.43483376503,4
110,BP107,PeerNM,F1,I have shin guards.,1,1.6901049614,4
111,BP107,CompNM,F1,Sam is bad at acting.,1,2.26597499847,4
112,BP107,CompMental,F1,Sam really likes being outdoors.,1,2.66683912277,4
113,BP107,PeerMental,F1,I don't want to get wet at the amusement park.,1,1.99511098862,4
114,BP107,CompNM,F1,Sam is good at making fires.,1,1.34735512733,4
115,BP107,CompNM,F1,Sam's house doesn't have recycling.,1,3.03088593483,4
116,BP107,PeerNM,F1,I am good at solving mysteries.,1,2.5904006958,4
117,BP107,CompNM,F1,Sam is bad at adding numbers. ,0,2.23552703857,4
118,BP107,PeerMental,F1,I like to play with animals.,1,2.39889001846,4
119,BP107,PeerNM,F1,I am good at following rules.,1,1.96331095695,4
120,BP111,PeerMental,M1,I like to run.,0,,1
121,BP111,PeerMental,M1,I like my little brother.,1,1.986490011,1
122,BP111,PeerMental,M1,I like phones with dark colors.,1,2.379426241,1
123,BP111,CompMental,M1,Sam really likes homemade meals.,1,2.98537612,1
124,BP111,CompMental,M1,Sam is afraid of reptiles.,1,2.139264822,1
125,BP111,PeerNM,M1,I'm good at making fires.,1,2.301939964,1
126,BP111,CompMental,M1,Sam likes to get exercise.,1,3.16939497,1
127,BP111,PeerNM,M1,I have a small budget.,1,2.216203928,1
128,BP111,PeerNM,M1,I use a kickboard to swim.,1,3.012955904,1
129,BP111,CompMental,M1,Sam likes to play games with competition.,1,3.041762829,1
130,BP111,CompMental,M1,Sam likes eating hot meals.,0,,1
131,BP111,CompNM,M1,Sam has a lot of clothes.,1,2.424550772,1
132,BP111,PeerMental,M1,I don't like to eat meat.,1,1.777453184,1
133,BP111,CompNM,M1,Sam's paint palette is dirty.,0,,1
134,BP111,PeerNM,M1,I am playing with my little brother.,1,2.226827145,1
135,BP111,CompNM,M1,Sam's headphones are broken.,1,2.327892065,1
