jitter1,jitter2,TotalTrialTime,
3400,2000,15400,
6000,2500,18500,
3000,4200,17200,
4200,3000,17200,
3400,2000,15400,
6000,2500,18500,
4200,3400,17600,
3000,2500,15500,
6000,2000,18000,
6000,3000,19000,
4200,2000,16200,
3400,2500,15900,
3400,2000,15400,
6000,2500,18500,
3000,4200,17200,
4200,3000,17200,
3400,2000,15400,
6000,2500,18500,
4200,3400,17600,
3000,2500,15500,
6000,2000,18000,
6000,3000,19000,
4200,2000,16200,
3400,2500,15900,
3400,2000,15400,
6000,2500,18500,
3000,4200,17200,
4200,3000,17200,
3400,2000,15400,
6000,2500,18500,
4200,3400,17600,
3000,2500,15500,
6000,2000,18000,
6000,3000,19000,
4200,2000,16200,
3400,2500,15900,
3400,2000,15400,
6000,2500,18500,
3000,4200,17200,
4200,3000,17200,
3400,2000,15400,
6000,2500,18500,
4200,3400,17600,
3000,2500,15500,
6000,2000,18000,
6000,3000,19000,
4200,2000,16200,
3400,2500,15900,
3400,2000,15400,
6000,2500,18500,
3000,4200,17200,
4200,3000,17200,
3400,2000,15400,
6000,2500,18500,
4200,3400,17600,
3000,2500,15500,
6000,2000,18000,
6000,3000,19000,
4200,2000,16200,
3400,2500,15900,
3400,2000,15400,
6000,2500,18500,
3000,4200,17200,
4200,3000,17200,
3400,2000,15400,
6000,2500,18500,
4200,3400,17600,
3000,2500,15500,
6000,2000,18000,
6000,3000,19000,
4200,2000,16200,
3400,2500,15900,
3400,2000,15400,
6000,2500,18500,
3000,4200,17200,
4200,3000,17200,
3400,2000,15400,
6000,2500,18500,
4200,3400,17600,
3000,2500,15500,
6000,2000,18000,
6000,3000,19000,
4200,2000,16200,
3400,2500,15900,
3400,2000,15400,
6000,2500,18500,
3000,4200,17200,
4200,3000,17200,
3400,2000,15400,
6000,2500,18500,
4200,3400,17600,
3000,2500,15500,
6000,2000,18000,
6000,3000,19000,
4200,2000,16200,
3400,2500,15900,
