jitter1,jitter2,TotalTrialTime,,,jitter 1,,,jitter2,
3400,2000,15400,,,0,-3400,,0,-2000
6000,2500,18500,,,0,-6000,,0,-2500
3000,4200,17200,,,0,-3000,,0,-4200
4200,3000,17200,,,0,-4200,,0,-3000
3400,2000,15400,,,0,-3400,,0,-2000
6000,2500,18500,,,0,-6000,,0,-2500
4200,3400,17600,,,0,-4200,,0,-3400
3000,2500,15500,,,0,-3000,,0,-2500
6000,2000,18000,,,0,-6000,,0,-2000
6000,3000,19000,,,0,-6000,,0,-3000
4200,2000,16200,,,0,-4200,,0,-2000
3400,2500,15900,,,0,-3400,,0,-2500
3400,2000,15400,,,0,-3400,,0,-2000
6000,2500,18500,,,0,-6000,,0,-2500
3000,4200,17200,,,0,-3000,,0,-4200
4200,3000,17200,,,0,-4200,,0,-3000
3400,2000,15400,,,0,-3400,,0,-2000
6000,2500,18500,,,0,-6000,,0,-2500
4200,3400,17600,,,0,-4200,,0,-3400
3000,2500,15500,,,0,-3000,,0,-2500
6000,2000,18000,,,0,-6000,,0,-2000
6000,3000,19000,,,0,-6000,,0,-3000
4200,2000,16200,,,0,-4200,,0,-2000
3400,2500,15900,A,,0,-3400,,0,-2500
3400,2000,15400,B,3.400083065,3400,0,2.00001502,2000,0
6000,2500,18500,,6.000094891,6000,0,2.50000906,2500,0
3000,4200,17200,,3.00007391,3000,0,4.200014114,4200,0
4200,3000,17200,,4.200058937,4200,0,3.000011921,3000,0
3400,2000,15400,,3.400050163,3400,0,2.000014067,2000,0
6000,2500,18500,,6.000067949,6000,0,2.500006914,2500,0
4200,3400,17600,,4.200061083,4200,0,3.400017023,3400,0
3000,2500,15500,,3.000096798,3000,0,2.50000906,2500,0
6000,2000,18000,,6.000034094,6000,0,2.000013113,2000,0
6000,3000,19000,,6.000021935,6000,0,3.000010014,3000,0
4200,2000,16200,,4.200051069,4200,0,2.00000906,2000,0
3400,2500,15900,,3.400043011,3400,0,2.500014067,2500,0
3400,2000,15400,,3.400063038,3400,0,2.000010967,2000,0
6000,2500,18500,,6.000072002,6000,0,2.500016928,2500,0
3000,4200,17200,,3.000099897,3000,0,4.200013161,4200,0
4200,3000,17200,,4.200021982,4200,0,3.000007153,3000,0
3400,2000,15400,,3.400086165,3400,0,2.000017881,2000,0
6000,2500,18500,,6.00009203,6000,0,2.500017166,2500,0
4200,3400,17600,,4.200075865,4200,0,3.400017023,3400,0
3000,2500,15500,,3.000093937,3000,0,2.500010967,2500,0
6000,2000,18000,,6.000020027,6000,0,2.000007153,2000,0
6000,3000,19000,,6.00007987,6000,0,2.799440146,2799,-201
4200,2000,16200,,4.200018883,4200,0,2.00001812,2000,0
3400,2500,15900,B,3.400053978,3400,0,2.500010014,2500,0
3400,2000,15400,C,,0,-3400,,0,-2000
6000,2500,18500,,,0,-6000,,0,-2500
3000,4200,17200,,,0,-3000,,0,-4200
4200,3000,17200,,,0,-4200,,0,-3000
3400,2000,15400,,,0,-3400,,0,-2000
6000,2500,18500,,,0,-6000,,0,-2500
4200,3400,17600,,,0,-4200,,0,-3400
3000,2500,15500,,,0,-3000,,0,-2500
6000,2000,18000,,,0,-6000,,0,-2000
6000,3000,19000,,,0,-6000,,0,-3000
4200,2000,16200,,,0,-4200,,0,-2000
3400,2500,15900,,,0,-3400,,0,-2500
3400,2000,15400,,,0,-3400,,0,-2000
6000,2500,18500,,,0,-6000,,0,-2500
3000,4200,17200,,,0,-3000,,0,-4200
4200,3000,17200,,,0,-4200,,0,-3000
3400,2000,15400,,,0,-3400,,0,-2000
6000,2500,18500,,,0,-6000,,0,-2500
4200,3400,17600,,,0,-4200,,0,-3400
3000,2500,15500,,,0,-3000,,0,-2500
6000,2000,18000,,,0,-6000,,0,-2000
6000,3000,19000,,,0,-6000,,0,-3000
4200,2000,16200,,,0,-4200,,0,-2000
3400,2500,15900,C,,0,-3400,,0,-2500
3400,2000,15400,D,3.400093079,3400,0,2.000005961,2000,0
6000,2500,18500,,6.000081062,6000,0,2.500010967,2500,0
3000,4200,17200,,3.000056028,3000,0,4.200006962,4200,0
4200,3000,17200,,4.20002985,4200,0,3.00001502,3000,0
3400,2000,15400,,3.400035143,3400,0,2.00000596,2000,0
6000,2500,18500,,6.000095129,6000,0,2.500017881,2500,0
4200,3400,17600,,4.200088024,4200,0,3.400015116,3400,0
3000,2500,15500,,3.000028849,3000,0,2.500006914,2500,0
6000,2000,18000,,6.000102043,6000,0,2.00001502,2000,0
6000,3000,19000,,6.000087023,6000,0,2.81617403,2816,-184
4200,2000,16200,,4.200067043,4200,0,2.00000596,2000,0
3400,2500,15900,,3.400033951,3400,0,2.500010967,2500,0
3400,2000,15400,,3.400094986,3400,0,2.00001502,2000,0
6000,2500,18500,,6.000013113,6000,0,2.500016928,2500,0
3000,4200,17200,,3.000085115,3000,0,4.200011015,4200,0
4200,3000,17200,,4.200027943,4200,0,3.000013828,3000,0
3400,2000,15400,,3.400065899,3400,0,2.000014067,2000,0
6000,2500,18500,,6.00010109,6000,0,2.500008822,2500,0
4200,3400,17600,,4.200102091,4200,0,3.400013924,3400,0
3000,2500,15500,,3.000090837,3000,0,2.50000596,2500,0
6000,2000,18000,,6.000112057,6000,0,1.781255007,1781,-219
6000,3000,19000,,6.000023842,6000,0,3.000019074,3000,0
4200,2000,16200,,4.200083017,4200,0,2.000014067,2000,0
3400,2500,15900,,3.400017977,3400,0,2.500014782,2500,0
