jitter1,jitter2,TotalTrialTime,,,jitter 1,,,jitter2,
3400,2000,15400,,3.40002799,3400,0,2.000008106,2000,0
6000,2500,18500,,6.000083923,6000,0,2.500005961,2500,0
3000,4200,17200,,3.000068903,3000,0,4.200006962,4200,0
4200,3000,17200,,4.200078011,4200,0,3.000008106,3000,0
3400,2000,15400,,3.400057077,3400,0,2.000005007,2000,0
6000,2500,18500,,6.000038147,6000,0,2.500015974,2500,0
4200,3400,17600,,4.200016022,4200,0,3.400015831,3400,0
3000,2500,15500,,3.000086069,3000,0,2.500014782,2500,0
6000,2000,18000,,6.000056028,6000,0,2.000012875,2000,0
6000,3000,19000,,6.000106096,6000,0,2.799367905,2799,-201
4200,2000,16200,,4.200047016,4200,0,2.000010967,2000,0
3400,2500,15900,,3.40001893,3400,0,2.500005007,2500,0
3400,2000,15400,,3.400042057,3400,0,2.000004053,2000,0
6000,2500,18500,,6.000079155,6000,0,2.500005961,2500,0
3000,4200,17200,,3.00007391,3000,0,4.200010061,4200,0
4200,3000,17200,,4.200110912,4200,0,3.000010014,3000,0
3400,2000,15400,,3.400051117,3400,0,2.000007153,2000,0
6000,2500,18500,,6.000026941,6000,0,2.500005961,2500,0
4200,3400,17600,,4.200076818,4200,0,3.400009871,3400,0
3000,2500,15500,,3.000100136,3000,0,2.500016928,2500,0
6000,2000,18000,,6.000075817,6000,0,2.00000596,2000,0
6000,3000,19000,,6.000051022,6000,0,3.000017881,3000,0
4200,2000,16200,,4.200034857,4200,0,2.00001502,2000,0
3400,2500,15900,A,3.400084972,3400,0,2.500014067,2500,0
3400,2000,15400,B,3.400110006,3400,0,2.000016928,2000,0
6000,2500,18500,,6.000114918,6000,0,2.500001907,2500,0
3000,4200,17200,,3.00008893,3000,0,4.200007916,4200,0
4200,3000,17200,,4.200042963,4200,0,3.000014067,3000,0
3400,2000,15400,,3.400067091,3400,0,2.000014067,2000,0
6000,2500,18500,,6.000096083,6000,0,2.500006914,2500,0
4200,3400,17600,,4.20005703,4200,0,3.400009871,3400,0
3000,2500,15500,,3.000025034,3000,0,2.317054033,2317,-183
6000,2000,18000,,6.000059843,6000,0,2.000007868,2000,0
6000,3000,19000,,6.000016928,6000,0,2.799243927,2799,-201
4200,2000,16200,,4.200018167,4200,0,2.000012159,2000,0
3400,2500,15900,,3.400115967,3400,0,2.500005007,2500,0
3400,2000,15400,,3.400026083,3400,0,2.000007153,2000,0
6000,2500,18500,,6.000044107,6000,0,2.500010967,2500,0
3000,4200,17200,,3.000087023,3000,0,4.200010061,4200,0
4200,3000,17200,,4.200089931,4200,0,3.000007153,3000,0
3400,2000,15400,,3.400061846,3400,0,2.000007153,2000,0
6000,2500,18500,,6.000067949,6000,0,2.500014067,2500,0
4200,3400,17600,,4.200016975,4200,0,3.40001297,3400,0
3000,2500,15500,,3.000087976,3000,0,2.500013113,2500,0
6000,2000,18000,,6.000114918,6000,0,2.000011921,2000,0
6000,3000,19000,,6.000087023,6000,0,3.000012875,3000,0
4200,2000,16200,,4.200032949,4200,0,2.000005007,2000,0
3400,2500,15900,B,3.400100231,3400,0,2.500006914,2500,0
3400,2000,15400,C,3.400109053,3400,0,2.000013113,2000,0
6000,2500,18500,,6.00001812,6000,0,2.500015974,2500,0
3000,4200,17200,,3.000012159,3000,0,4.200006962,4200,0
4200,3000,17200,,4.200100899,4200,0,3.00000906,3000,0
3400,2000,15400,,3.400103807,3400,0,2.000007868,2000,0
6000,2500,18500,,6.000031948,6000,0,2.50001502,2500,0
4200,3400,17600,,4.200113058,4200,0,3.400006771,3400,0
3000,2500,15500,,3.000051022,3000,0,2.500014782,2500,0
6000,2000,18000,,6.00007391,6000,0,1.798389196,1798,-202
6000,3000,19000,,6.000025034,6000,0,3.000012159,3000,0
4200,2000,16200,,4.200093985,4200,0,2.000013828,2000,0
3400,2500,15900,,3.400079012,3400,0,2.50000906,2500,0
3400,2000,15400,,3.400110006,3400,0,2.000005961,2000,0
6000,2500,18500,,6.000058889,6000,0,2.500007153,2500,0
3000,4200,17200,,3.000063896,3000,0,4.200009823,4200,0
4200,3000,17200,,4.20009017,4200,0,3.00001502,3000,0
3400,2000,15400,,3.400099993,3400,0,2.000011921,2000,0
6000,2500,18500,,6.000041008,6000,0,2.500013828,2500,0
4200,3400,17600,,4.20001483,4200,0,3.400017023,3400,0
3000,2500,15500,,3.000051022,3000,0,2.500017166,2500,0
6000,2000,18000,,6.00011301,6000,0,2.000010967,2000,0
6000,3000,19000,,6.000035048,6000,0,3.000010967,3000,0
4200,2000,16200,,4.200037956,4200,0,2.000011921,2000,0
3400,2500,15900,C,3.400087118,3400,0,2.50000906,2500,0
3400,2000,15400,D,3.400048971,3400,0,2.000010014,2000,0
6000,2500,18500,,6.000056982,6000,0,2.500014067,2500,0
3000,4200,17200,,3.00002408,3000,0,4.200009108,4200,0
4200,3000,17200,,4.20002985,4200,0,2.999996901,3000,0
3400,2000,15400,,3.400096893,3400,0,2.000005007,2000,0
6000,2500,18500,,6.00009799,6000,0,2.500007868,2500,0
4200,3400,17600,,4.200071812,4200,0,3.400006056,3400,0
3000,2500,15500,,3.00009203,3000,0,2.50001502,2500,0
6000,2000,18000,,6.000014782,6000,0,2.000011206,2000,0
6000,3000,19000,,6.000066042,6000,0,3.00000906,3000,0
4200,2000,16200,,4.200083017,4200,0,2.000016928,2000,0
3400,2500,15900,,3.400091886,3400,0,2.500006914,2500,0
3400,2000,15400,,3.400087118,3400,0,2.00001502,2000,0
6000,2500,18500,,6.000074863,6000,0,2.500017166,2500,0
3000,4200,17200,,3.000070095,3000,0,4.200014114,4200,0
4200,3000,17200,,4.200103044,4200,0,3.000005007,3000,0
3400,2000,15400,,3.400017023,3400,0,2.000016928,2000,0
6000,2500,18500,,6.000104904,6000,0,2.500013113,2500,0
4200,3400,17600,,4.20005703,4200,0,3.40001297,3400,0
3000,2500,15500,,3.000102043,3000,0,2.50001502,2500,0
6000,2000,18000,,6.000061989,6000,0,2.000014067,2000,0
6000,3000,19000,,6.000034809,6000,0,2.81617403,2816,-184
4200,2000,16200,,4.200051069,4200,0,2.000007153,2000,0
3400,2500,15900,,3.400067091,3400,0,2.500016928,2500,0
