jitter1,jitter2,TotalTrialTime,,,jitter 1,,,jitter2,
3400,2000,15400,,3.400051832,3400,0,2.000014067,2000,0
6000,2500,18500,,6.000074148,6000,0,2.500007868,2500,0
3000,4200,17200,,3.000102997,3000,0,4.200012922,4200,0
4200,3000,17200,,4.200088978,4200,0,3.000007153,3000,0
3400,2000,15400,,3.400073051,3400,0,2.00001502,2000,0
6000,2500,18500,,6.000103951,6000,0,2.500005961,2500,0
4200,3400,17600,,4.200062037,4200,0,3.400012016,3400,0
3000,2500,15500,,3.000083923,3000,0,2.50001502,2500,0
6000,2000,18000,,6.000015974,6000,0,2.000014067,2000,0
6000,3000,19000,,6.000104904,6000,0,3.000012159,3000,0
4200,2000,16200,,4.200090885,4200,0,2.000011921,2000,0
3400,2500,15900,,3.400074005,3400,0,2.500005007,2500,0
3400,2000,15400,,3.400084972,3400,0,2.000010014,2000,0
6000,2500,18500,,6.000051975,6000,0,2.500007153,2500,0
3000,4200,17200,,3.000081062,3000,0,4.200017929,4200,0
4200,3000,17200,,4.200083971,4200,0,3.000015974,3000,0
3400,2000,15400,,3.400078058,3400,0,2.00000906,2000,0
6000,2500,18500,,6.000028133,6000,0,2.500010967,2500,0
4200,3400,17600,,4.200022936,4200,0,3.400017023,3400,0
3000,2500,15500,,3.000061989,3000,0,2.500016928,2500,0
6000,2000,18000,,6.000076056,6000,0,2.000008822,2000,0
6000,3000,19000,,6.00011301,6000,0,3.00001812,3000,0
4200,2000,16200,,4.200021982,4200,0,2.000005961,2000,0
3400,2500,15900,,3.400063038,3400,0,2.500012159,2500,0
3400,2000,15400,,,,,,,
6000,2500,18500,,,,,,,
3000,4200,17200,,,,,,,
4200,3000,17200,,,,,,,
3400,2000,15400,,,,,,,
6000,2500,18500,,,,,,,
4200,3400,17600,,,,,,,
3000,2500,15500,,,,,,,
6000,2000,18000,,,,,,,
6000,3000,19000,,,,,,,
4200,2000,16200,,,,,,,
3400,2500,15900,,,,,,,
3400,2000,15400,,,,,,,
6000,2500,18500,,,,,,,
3000,4200,17200,,,,,,,
4200,3000,17200,,,,,,,
3400,2000,15400,,,,,,,
6000,2500,18500,,,,,,,
4200,3400,17600,,,,,,,
3000,2500,15500,,,,,,,
6000,2000,18000,,,,,,,
6000,3000,19000,,,,,,,
4200,2000,16200,,,,,,,
3400,2500,15900,,,,,,,
3400,2000,15400,,,,,,,
6000,2500,18500,,,,,,,
3000,4200,17200,,,,,,,
4200,3000,17200,,,,,,,
3400,2000,15400,,,,,,,
6000,2500,18500,,,,,,,
4200,3400,17600,,,,,,,
3000,2500,15500,,,,,,,
6000,2000,18000,,,,,,,
6000,3000,19000,,,,,,,
4200,2000,16200,,,,,,,
3400,2500,15900,,,,,,,
3400,2000,15400,,,,,,,
6000,2500,18500,,,,,,,
3000,4200,17200,,,,,,,
4200,3000,17200,,,,,,,
3400,2000,15400,,,,,,,
6000,2500,18500,,,,,,,
4200,3400,17600,,,,,,,
3000,2500,15500,,,,,,,
6000,2000,18000,,,,,,,
6000,3000,19000,,,,,,,
4200,2000,16200,,,,,,,
3400,2500,15900,,,,,,,
3400,2000,15400,,,,,,,
6000,2500,18500,,,,,,,
3000,4200,17200,,,,,,,
4200,3000,17200,,,,,,,
3400,2000,15400,,,,,,,
6000,2500,18500,,,,,,,
4200,3400,17600,,,,,,,
3000,2500,15500,,,,,,,
6000,2000,18000,,,,,,,
6000,3000,19000,,,,,,,
4200,2000,16200,,,,,,,
3400,2500,15900,,,,,,,
3400,2000,15400,,,,,,,
6000,2500,18500,,,,,,,
3000,4200,17200,,,,,,,
4200,3000,17200,,,,,,,
3400,2000,15400,,,,,,,
6000,2500,18500,,,,,,,
4200,3400,17600,,,,,,,
3000,2500,15500,,,,,,,
6000,2000,18000,,,,,,,
6000,3000,19000,,,,,,,
4200,2000,16200,,,,,,,
3400,2500,15900,,,,,,,
