order,index,questionType,questionVoice,waitText,speaker,prompt,question,answerA,answerB,corrAnswer
45,1,Mental,first,Waiting for Computer¾,Sarah,I know my sister is lying.,Which will I pick?,Tell on her,Believe her,Tell on her
59,2,Mental,third,Waiting for Computer¾,Computer,Mia is excited to see her friend.,Which will she pick?,Hug friend,Ignore friend,Hug friend
106,3,Mental,first,Waiting for Computer¾,Sarah,I want to borrow a book. ,Which will I pick?,Mall,Library,Library
61,4,Mental,first,Waiting for Computer¾,Sarah,I like homemade meals.,Which will I pick?,Buy lunch,Pack lunch,Pack lunch
38,7,Mental,first,Waiting for Computer¾,Sarah,I do not think the teacher heard me.,Which will I pick?,Repeat question,Wait for answer,Repeat question
35,9,Mental,first,Waiting for Computer¾,Sarah,I feel confused during math class.,Which will I pick?,Math tutor,Math club,Math tutor
79,10,Mental,first,Waiting for Computer¾,Sarah,I think my friend is mad at me.,Which will I pick?,Annoy friend,Apologize,Apologize
74,11,Mental,first,Waiting for Computer¾,Sarah,I want to stay dry at the lake.,Which will I pick?,Picnic,Swimming,Picnic
98,12,Mental,third,Waiting for Computer¾,Computer,Mia wants a healthy snack.,Which will she pick?,Cookies,Carrots,Carrots
15,13,Mental,third,Waiting for Computer¾,Computer,Mia really likes to laugh. ,Which will she pick?,Funny movie,Scary movie,Funny movie
90,15,Mental,first,Waiting for Computer¾,Sarah,I do not know what time it is.,Which will I pick?,Clock,Calculator,Clock
109,16,Mental,third,Waiting for Computer¾,Computer,Mia wants to do some exercise.,Which will she pick?,Soccer,Movie,Soccer
83,18,Mental,third,Waiting for Computer¾,Computer,Mia thinks flying is fun.,Which will she pick?,Train,Plane,Plane
36,19,Mental,third,Waiting for Computer¾,Computer,Mia is angry at her mom.,Which will she pick?,Smile at mom,Glare at mom,Glare at mom
50,20,Mental,first,Waiting for Computer¾,Sarah,I am afraid of heights.,Which will I pick?,Climb tree,Rake leaves,Rake leaves
71,21,Mental,first,Waiting for Computer¾,Sarah,I am interested in the ocean.,Which will I pick?,Aquarium,Zoo,Aquarium
44,22,Mental,first,Waiting for Computer¾,Sarah,I think there is candy in the jar.,Which will I pick?,Jar,Drawer,Jar
105,23,Mental,third,Waiting for Computer¾,Computer,Mia thinks her friend is busy.,Which will she pick?,Ask to hang out,Leave alone,Leave alone
102,24,Mental,first,Waiting for Computer¾,Sarah,I do not like fruit.,Which will I pick?,Soda,Juice,Soda
17,28,Mental,third,Waiting for Computer¾,Computer,Mia thinks TV shows should be silly.,Which will she pick?,Drama,Comedy ,Comedy 
107,29,Mental,first,Waiting for Computer¾,Sarah,I know my brother is hiding in the closet.,Which will I pick?,Keep looking,Open closet,Open closet
87,30,Mental,third,Waiting for Computer¾,Computer,Mia wants to get a good grade.,Which will she pick?,Watch TV,Study for test,Study for test
84,31,Mental,first,Waiting for Computer¾,Sarah,I want to have fun with my friends.,Which will I pick?,Party,Nature walk,Party
16,32,Mental,first,Waiting for Computer¾,Sarah,I want to listen to loud music.,Which will I pick?,Classical,Rock,Rock
51,33,Mental,third,Waiting for Computer¾,Computer,Mia likes to play with animals.,Which will she pick?,Goldfish,Dog,Dog
92,35,Mental,third,Waiting for Computer¾,Computer,Mia thinks skiing is dangerous.,Which will she pick?,Mountain slope,Hot cocoa,Hot cocoa
39,36,Mental,third,Waiting for Computer¾,Computer,Mia knows that school is closed today.,Which will she pick?,Play outside,Wait at bus stop,Play outside
60,37,Mental,third,Waiting for Computer¾,Computer,Mia wants to eat healthy.,Which will she pick?,Fish,Pizza,Fish
101,38,Mental,first,Waiting for Computer¾,Sarah,I like to get exercise.,Which will I pick?,Card game,Kickball,Kickball
91,39,Mental,third,Waiting for Computer¾,Computer,Mia does not think she did well on the test.,Which will she pick?,Ask for help,Celebrate,Ask for help
29,42,Mental,third,Waiting for Computer¾,Computer,Mia does not know where she's going.,Which will she pick?,Walk faster,Ask for directions,Ask for directions
86,43,Mental,first,Waiting for Computer¾,Sarah,I know the answer to the question.,Which will I pick?,Say answer,Look confused,Say answer
120,44,Mental,first,Waiting for Computer¾,Sarah,I know it will rain later.,Which will I pick?,Umbrella,Sandals,Umbrella
110,45,Mental,first,Waiting for Computer¾,Sarah,I think I am funny.,Which will I pick?,Tell a joke,Sing a song,Tell a joke
95,46,Mental,first,Waiting for Computer¾,Sarah,I like to run.,Which will I pick?,Soccer,Dodgeball,Soccer
54,47,Mental,third,Waiting for Computer¾,Computer,Mia is scared of roller coasters.,Which will she pick?,Theme park,Water park,Water park
119,48,Mental,first,Waiting for Computer¾,Sarah,I like to read.,Which will I pick?,Short story,Long novel,Long novel
20,49,Mental,first,Waiting for Computer¾,Sarah,I wonder if the weather is nice.,Which will I pick?,Window,Basement,Window
6,50,Mental,third,Waiting for Computer¾,Computer,Mia does not want to go to bed early.,Which will she pick?,7pm bedtime,11pm bedtime,11pm bedtime
24,51,Mental,third,Waiting for Computer¾,Computer,Mia knows her bike was stolen.,Which will she pick?,Check garage,Call police,Call police
58,52,Mental,third,Waiting for Computer¾,Computer,Mia cares about the environment.,Which will she pick?,Recycling,Trash,Recycling
