,Audio_file,Choice1,Choice2,Correct,Degree Difficulty
0,1.DMVOffice.wav,Sam wanted to go to the DMV office to get a registration sticker.,Sam wanted to go to the DMV office to get a driver's license.,Sam wanted to go to the DMV office to get a registration sticker.,1
1,1.DMVOffice.wav,Henry thought Sam would find the DMV office on Elm Street.,Henry thought Sam would find the DMV office on Bold Street.,Henry thought Sam would find the DMV office on Elm Street.,1
2,1.DMVOffice.wav,The DMV office had moved from Elm Street to Bold Street.,The DMV office had moved from Bold Street to Elm Street.,The DMV office had moved from Elm Street to Bold Street.,1
3,1.DMVOffice.wav,Sam thought that Henry knew the DMV office was on Elm Street.,Sam thought that Henry knew the DMV office was on Bold Street.,Sam thought that Henry knew the DMV office was on Elm Street.,2
4,1.DMVOffice.wav,The DMV office on Elm Street had a notice on the door saying it had moved to Bold Street.,The DMV office on Elm Street had a notice in the window saying it had moved to Bold Street.,The DMV office on Elm Street had a notice on the door saying it had moved to Bold Street.,2
5,1.DMVOffice.wav,Sam thought that Henry believed that Sam wanted to get a registration sticker.,Sam thought that Henry did not know that Sam wanted to get a registration sticker.,Sam thought that Henry believed that Sam wanted to get a registration sticker.,3
6,1.DMVOffice.wav,"When Sam got to Bold Street to get his registration sticker, he realised  that he wouldn't be able to because he had forgotten his driver's license.","When Sam got to Bold Street to get his registration sticker, he realised that  he wouldn't be able to because he had forgotten his insurance certificate.","When Sam got to Bold Street to get his registration sticker, he realised  that he wouldn't be able to because he had forgotten his driver's license.",3
7,2.JohnsProblem.wav,The story was set in the afternoon.,The story was set in the morning.,The story was set in the afternoon.,1
8,2.JohnsProblem.wav,John wanted to go to the pub after work.,John wanted to go home after work.,John wanted to go to the pub after work.,1
9,2.JohnsProblem.wav,John thought Sheila would not like to go to the pub with him.,John thought Sheila would like to go to the pub with him.,John thought Sheila would not like to go to the pub with him.,2
10,2.JohnsProblem.wav,John thought that Penny knew what Sheila wanted to do.,John thought that Penny did not know what Sheila wanted to do.,John thought that Penny knew what Sheila wanted to do.,3
11,2.JohnsProblem.wav,"John's friend, Pete, occasionally went for a drink in the evening, after work.","John's friend, Pete, occasionally went for a drink, but never after work, always going home.","John's friend, Pete, occasionally went for a drink in the evening, after work.",2
12,2.JohnsProblem.wav,Penny believed that John thought she would not know what Sheila would want to do.,Penny believed that John was hoping she would know what Sheila would want to do.,Penny believed that John thought she would not know what Sheila would want to do.,4
13,2.JohnsProblem.wav,"John spoke to Penny, but neither Sheila or Pete, about going for a drink after work.","John spoke to Penny and Pete, but not Sheila, about going for a drink after work.","John spoke to Penny, but neither Sheila or Pete, about going for a drink after work.",3
14,2.JohnsProblem.wav,John thought that Penny thought that John wanted Penny to find out  what Sheila wanted to do because John wanted to go out with them both.,John thought that Penny thought that John wanted Penny to find out what  Sheila wanted to do because John wanted to go out with Sheila alone.,John thought that Penny thought that John wanted Penny to find out  what Sheila wanted to do because John wanted to go out with them both.,3
15,3.EmmasDilemma.wav,Emma worked for a supermarket.,Emma worked in a pharmacy.,Emma worked for a supermarket.,1
16,3.EmmasDilemma.wav,Emma wanted more money.,Emma wanted a different job.,Emma wanted more money.,1
17,3.EmmasDilemma.wav,"Emma's friend, Jenny, was still at school.","Emma's friend, Jenny, worked in a bank.","Emma's friend, Jenny, was still at school.",2
18,3.EmmasDilemma.wav,Jenny thought the boss would believe Emma's story.,Jenny knew the boss would not believe Emma's story.,Jenny thought the boss would believe Emma's story.,2
19,3.EmmasDilemma.wav,Emma told her boss at the supermarket that she had been offered a job in a pharmacy.,Emma told her boss at the supermarket that she had been offered a job in a bank.,Emma told her boss at the supermarket that she had been offered a job in a pharmacy.,2
20,3.EmmasDilemma.wav,Emma thought the boss believed that the pharmacy wanted her to work for them.,Emma thought the boss knew that the pharmacy had not offered her a job.,Emma thought the boss believed that the pharmacy wanted her to work for them.,3
21,3.EmmasDilemma.wav,Emma's boss at the supermarket asked the manager of the pharmacy  if he had offered Emma a job.,Emma's boss at the supermarket asked Jenny if Emma had been offered a job.,Emma's boss at the supermarket asked the manager of the pharmacy  if he had offered Emma a job.,2
22,3.EmmasDilemma.wav,Jenny thought that Emma hoped that the boss would believe that the  pharmacy wanted Emma to work for them.,Jenny thought that Emma believed that the boss knew that the pharmacy did  not want Emma to work for them.,Jenny thought that Emma hoped that the boss would believe that the  pharmacy wanted Emma to work for them.,4
23,3.EmmasDilemma.wav,"The pharmacy, where Jenny had suggested that Emma tell her boss that  she had been offered a job, was near where Emma lived.","The pharmacy, where Jenny had suggested that Emma tell her boss that she  had been offered a job, was in a different town.","The pharmacy, where Jenny had suggested that Emma tell her boss that  she had been offered a job, was near where Emma lived.",3
24,4.Simon.wav,Simon worked as a mechanic.,Simon worked in a supermarket.,Simon worked as a mechanic.,1
25,4.Simon.wav,Jim wanted to marry Susan.,Jim wanted to marry Betty.,Jim wanted to marry Susan.,1
26,4.Simon.wav,"Simon, who was 19 years old, was Jim's cousin.","Simon, who was 19 years old, was Jim's brother.","Simon, who was 19 years old, was Jim's cousin.",2
27,4.Simon.wav,Jim thought Susan wanted to marry Edward.,Jim thought Simon wanted to marry Susan.,Jim thought Susan wanted to marry Edward.,2
28,4.Simon.wav,"Edward's friend, Jim, had a younger cousin, Simon, who was 19.","Edward's friend, Jim, had an older cousin, Simon, who was 19.","Edward's friend, Jim, had a younger cousin, Simon, who was 19.",3
29,4.Simon.wav,Jim wanted Susan to think Edward wanted to marry Betty.,Jim wanted Edward to think Susan wanted to marry Jim.,Jim wanted Susan to think Edward wanted to marry Betty.,3
30,5.MacabreTale.wav,The old man fell asleep in his chair.,The old man fell asleep in bed.,The old man fell asleep in his chair.,1
31,5.MacabreTale.wav,The fumes from the foam padding killed the old man.,The fumes from the material of the chair killed the old man.,The fumes from the foam padding killed the old man.,1
32,5.MacabreTale.wav,"When the old man fell asleep, his cigarette fell down the side of  the chair and set light to the material.","When the old man fell asleep, his cigarette fell into his lap and burned  a hole in his trousers.","When the old man fell asleep, his cigarette fell down the side of  the chair and set light to the material.",2
33,5.MacabreTale.wav,"When the old man fell asleep, his cigarette fell down the side of  the chair and set light to the material. The foam in the chair gave off poisonous fumes which killed him.","When the old man fell asleep, his cigarette fell onto the floor. It set  light to the rubber underlay of the carpet which gave off poisonous fumes that killed him.","When the old man fell asleep, his cigarette fell down the side of  the chair and set light to the material. The foam in the chair gave off poisonous fumes which killed him.",3
34,6.MowingTheLawn.wav,The story was set in the summer.,The story was set in the spring.,The story was set in the summer.,1
35,6.MowingTheLawn.wav,"Hank had back problems, so he wanted one of the boys in his  neighborhood to mow his lawn.","Hank had back problems, but wanted to mow his lawn anyway.","Hank had back problems, so he wanted one of the boys in his  neighborhood to mow his lawn.",1
36,6.MowingTheLawn.wav,Hank thought Robert was scared of him.,Hank thought Robert really liked him.,Hank thought Robert was scared of him.,2
37,6.MowingTheLawn.wav,Hank thought that Paul would ask Robert to mow his lawn.,Hank thought that Paul wouldn't ask Robert to mow his lawn.,Hank thought that Paul would ask Robert to mow his lawn.,1
38,6.MowingTheLawn.wav,Paul believed that Hank wanted to punish Robert for breaking his window.,Paul believed that Hank wanted Robert to mow his lawn because Hank has back problems.,Paul believed that Hank wanted to punish Robert for breaking his window.,2
39,6.MowingTheLawn.wav,Hank thought that Paul thought that Hank couldn't mow his lawn  because of his back problems.,Hank thought that Paul thought that Hank wanted his window fixed.,Hank thought that Paul thought that Hank couldn't mow his lawn  because of his back problems.,2
40,6.MowingTheLawn.wav,Paul thought that Hank wanted Robert to know that Hank was still  angry about the window.,Paul thought that Hank wanted Robert to know that Hank wasn't angry  about the window anymore.,Paul thought that Hank wanted Robert to know that Hank was still  angry about the window.,3
41,6.MowingTheLawn.wav,"Paul, who was Robert's father, lived near Hank who used to be an insurance salesman.","Hank, who was Robert's father, lived near Paul, who used to be an insurance salesman.","Paul, who was Robert's father, lived near Hank who used to be an insurance salesman.",3
42,7.RoadTrip.wav,Diana is Fred's sister.,John is Diana's brother.,Diana is Fred's sister.,1
43,7.RoadTrip.wav,John wanted to stop in Las Vegas for a day.,Fred wanted to stop in Las Vegas for a day.,John wanted to stop in Las Vegas for a day.,1
44,7.RoadTrip.wav,John knew that Fred didn't want to stop in Las Vegas.,John thought that Fred thought it was a good idea to stop in Las Vegas.,John knew that Fred didn't want to stop in Las Vegas.,2
45,7.RoadTrip.wav,"When Fred was asleep, John asked for directions and their  next stop was in California.","When Fred was asleep, John asked for directions and their next stop was in Las Vegas.","When Fred was asleep, John asked for directions and their  next stop was in California.",2
46,7.RoadTrip.wav,Fred did not know Diana knew John wanted to stop in Las Vegas.,Diana knew Fred did not know John wanted to stop in Las Vegas.,Fred did not know Diana knew John wanted to stop in Las Vegas.,3
47,7.RoadTrip.wav,"Jack, who is 26-years-old, is older than Diana's brother, Fred.","Fred, who is 24-years-old, is younger than Jack's girlfriend, Diana.","Jack, who is 26-years-old, is older than Diana's brother, Fred.",3
48,8.FleaMarket.wav,Dylan went to the flea market to get jewelry for Helen.,Dylan went to the flea market to get some crafts for Helen.,Dylan went to the flea market to get jewelry for Helen.,1
49,8.FleaMarket.wav,Murray thought that Dylan could get jewelry for $5 from Henry.,Murray thought that Dylan could get crafts for $8 from Henry.,Murray thought that Dylan could get jewelry for $5 from Henry.,1
50,8.FleaMarket.wav,"Henry sold jewelry for $15, and Michelle sold it for $5.","Henry sold jewelry for $5, and Michelle sold it for $15.","Henry sold jewelry for $15, and Michelle sold it for $5.",2
51,8.FleaMarket.wav,Dylan believed that Murray knew that Henry sold jewelry for $5.,Dylan believed that Murray knew that Michelle sold jewelry for $5.,Dylan believed that Murray knew that Henry sold jewelry for $5.,2
52,8.FleaMarket.wav,Dylan bought crafts from Murray for more money than Michelle's jewelry  would have cost because he couldn't find Michelle.,Dylan bought crafts from Murray for the same amount of money that Michelle's jewelry  would have cost because he couldn't find Michelle.,Dylan bought crafts from Murray for more money than Michelle's jewelry  would have cost because he couldn't find Michelle.,3
53,8.FleaMarket.wav,Murray knew that Henry thought Dylan wanted to sell jewelry for $5.,Dylan knew that Henry thought Murray wanted to sell jewelry for $5.,Murray knew that Henry thought Dylan wanted to sell jewelry for $5.,3
54,9.TheParty.wav,"During Kevin's party, a lamp broke.","During Kevin's party, a chair broke.","During Kevin's party, a lamp broke.",1
55,9.TheParty.wav,Kevin thought James broke the lamp.,Kevin thought Robert broke the lamp.,Kevin thought James broke the lamp.,1
56,9.TheParty.wav,"Robert was the first to arrive to the party, which started at 9pm.","James was the first to arrive to the party, which started at 10pm.","Robert was the first to arrive to the party, which started at 9pm.",2
57,9.TheParty.wav,Robert knew that Kevin suspected James broke the lamp.,Robert knew that Mike suspected James broke the lamp.,Robert knew that Kevin suspected James broke the lamp.,2
58,9.TheParty.wav,Kevin knew that Robert thought James knew who really broke the lamp.,Kevin knew that James thought Robert knew who really broke the lamp.,Kevin knew that Robert thought James knew who really broke the lamp.,3
59,9.TheParty.wav,Kevin was not very angry and decided to wait for everyone to leave  before cleaning and going to sleep.,"Kevin was not very angry, but decided to clean up during the party, and  then go to sleep after everyone left.",Kevin was not very angry and decided to wait for everyone to leave  before cleaning and going to sleep.,3
60,10.GroupProject.wav,"Greg, Albert, and Joann met to work on the project the first day it was assigned.","Greg, Albert, and Kylie met to work on the project the first day it was assigned.","Greg, Albert, and Joann met to work on the project the first day it was assigned.",1
61,10.GroupProject.wav,Greg thought Albert was a good writer.,Greg thought Albert was a bad writer.,Greg thought Albert was a good writer.,1
62,10.GroupProject.wav,Albert agreed to write the paper and Greg volunteered to make the poster.,Albert agreed to write the paper and Joann volunteered to make the poster.,Albert agreed to write the paper and Greg volunteered to make the poster.,2
63,10.GroupProject.wav,Greg knew Joann wanted to make the powerpoint.,Greg knew Kylie wanted to make the powerpoint.,Greg knew Joann wanted to make the powerpoint.,2
64,10.GroupProject.wav,Joann knew Greg thought that Kylie did not want to help.,Joann thought Greg knew that Kylie did want to help.,Joann knew Greg thought that Kylie did not want to help.,3
65,10.GroupProject.wav,"Kylie, who is friends with Joann, helped her make the powerpoint presentation  another day, but did not help with the research paper.","Kylie, who is friends with Greg, helped him make the powerpoint presentation  another day, but did not help with the poster.","Kylie, who is friends with Joann, helped her make the powerpoint presentation  another day, but did not help with the research paper.",3
66,11.SchoolPlay.wav,Jake auditioned for the role of Mercutio.,Jake auditioned for the role of Romeo.,Jake auditioned for the role of Mercutio.,1
