Prime,Target,Type,Condition,ITI,TotalTrialTime
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_8/neu_438.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_8/mut_031.jpg,neut_neg,5,3.5,5.7
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_8/ero_040.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_8/mut_047.jpg,pos_neg,6,3.5,5.7
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_8/mut_013.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_8/mut_024.jpg,neg_neg,3,3.5,5.7
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_8/mut_042.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_8/neu_439.jpg,neg_neut,5,3.5,5.7
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_8/mut_053.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_8/ero_058.jpg,neg_pos,6,3.5,5.7
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_8/ero_038.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_8/neu_437.jpg,pos_neut,4,3.5,5.7
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_8/neu_436.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_8/ero_035.jpg,neut_pos,4,3.5,5.7
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_8/ero_001.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_8/ero_011.jpg,pos_pos,2,3.5,5.7
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_8/neu_005.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_8/neu_018.jpg,neut_neut,1,3.5,5.7
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_8/neu_008.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_8/neu_435.jpg,neut_neut,1,3.5,5.7
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_8/ero_010.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_8/ero_021.jpg,pos_pos,2,3.5,5.7
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_8/mut_003.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_8/mut_015.jpg,neg_neg,3,3.5,5.7
