Prime,Target,Type,Condition,ITI,TotalTrialTime
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_026.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_018.jpg,neg_neg,3,4.440329,6.640329
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_242.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_222.jpg,neg_pos,6,3.162551222,5.362551222
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_152.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_142.jpg,neg_neg,3,2.973662333,5.173662333
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_179.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_024.jpg,neut_neut,1,2.495884556,4.695884556
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_188.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_146.jpg,neg_neg,3,4.106995667,6.306995667
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_078.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_138.jpg,neg_neg,3,4.884773444,7.084773444
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_113.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_221.jpg,pos_neg,6,3.440329,5.640329
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_008.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_284.jpg,neg_neg,3,4.218106778,6.418106778
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_410.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_375.jpg,neut_neut,1,4.662551222,6.862551222
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_175.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_168.jpg,pos_pos,2,4.440329,6.640329
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_050.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_373.jpg,pos_neut,4,3.625514185,5.825514185
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_187.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_159.jpg,pos_neg,6,3.062551222,5.262551222
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_338.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_270.jpg,neut_neg,5,2.929217889,5.129217889
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_150.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_118.jpg,neg_neg,3,3.384773444,5.584773444
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_180.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_141.jpg,neg_neut,5,2.440329,4.640329
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_156.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_259.jpg,pos_pos,2,2.853027413,5.053027413
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_051.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_309.jpg,neg_neut,5,5.773662333,7.973662333
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_072.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_065.jpg,pos_pos,2,2.789535349,4.989535349
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_010.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_143.jpg,neg_pos,6,2.757789317,4.957789317
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_109.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_034.jpg,pos_neg,6,2.884773444,5.084773444
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_233.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_413.jpg,neg_neut,5,5.329217889,7.529217889
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_089.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_115.jpg,neg_pos,6,3.018106778,5.218106778
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_179.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_223.jpg,neg_neut,5,2.579217889,4.779217889
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_368.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_328.jpg,neut_neut,1,2.662551222,4.862551222
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_148.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_331.jpg,neut_neut,1,5.551440111,7.751440111
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_253.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_236.jpg,pos_pos,2,3.551440111,5.751440111
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_178.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_088.jpg,pos_pos,2,2.884773444,5.084773444
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_311.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_226.jpg,neut_pos,4,4.218106778,6.418106778
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_195.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_344.jpg,neg_neut,5,3.218106778,5.418106778
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_118.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_117.jpg,neut_pos,4,3.551440111,5.751440111
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_207.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_046.jpg,pos_neg,6,2.551440111,4.751440111
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_089.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_030.jpg,neut_pos,4,4.662551222,6.862551222
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_300.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_229.jpg,neut_pos,4,3.699588259,5.899588259
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_066.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_033.jpg,pos_pos,2,3.884773444,6.084773444
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_045.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_384.jpg,pos_neut,4,2.694297254,4.894297254
C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_055.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_206.jpg,pos_neg,6,4.884773444,7.084773444
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_194.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_137.jpg,neg_neg,3,3.773662333,5.973662333
C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_153.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\NeutralPics_216/neu_033.jpg,neut_neut,1,3.329217889,5.529217889
C:\Users\MNC User\Desktop\Pessoa\UPN\NegativePics_216/mut_172.jpg,C:\Users\MNC User\Desktop\Pessoa\UPN\PositivePics_216/ero_234.jpg,neg_pos,6,3.106995667,5.306995667
